date,price,open,high,low,vol,change
28-02-2025,369.35,366.8,375.75,365.3,21.90M,0.02
27-02-2025,363.85,359,367.8,356.15,6.20M,0.01
25-02-2025,361.15,364,365.4,358.7,4.53M,-0.01
24-02-2025,364.8,368.05,368.5,361.15,4.53M,-0.01
21-02-2025,369.95,367.55,371.2,365.3,5.24M,0.01
20-02-2025,367.95,360,369.45,360,4.62M,0.02
19-02-2025,362.3,360,365.3,358,3.10M,0.00
18-02-2025,361.1,360.25,362.35,353.8,3.84M,0.00
17-02-2025,360.1,354.2,362,349.25,6.02M,0.02
14-02-2025,354.2,363.9,365,350.5,4.46M,-0.02
13-02-2025,361.65,362,367.55,358.6,3.71M,0.00
12-02-2025,360.35,359.9,361.8,351.55,4.57M,0.00
11-02-2025,359,370,370.5,357.5,6.80M,-0.03
10-02-2025,370.5,377,379.85,369,3.38M,-0.02
07-02-2025,378.25,379.5,383,376,3.01M,0.00
06-02-2025,379.6,382.8,384.65,377.2,4.65M,-0.01
05-02-2025,382.85,378,385.1,377.9,5.91M,0.02
04-02-2025,376.55,377.5,380.7,374.9,4.65M,0.01
03-02-2025,374,384,384.15,366.5,7.69M,-0.03
01-02-2025,385.3,395.9,399.45,379.05,7.02M,-0.03
31-01-2025,395.9,379.5,396.95,374.65,10.34M,0.03
30-01-2025,385.05,381.7,387.35,380.4,6.30M,0.01
29-01-2025,379.45,372.5,385,370.8,6.68M,0.02
28-01-2025,370.65,376,377.6,367.75,10.87M,-0.01
27-01-2025,375.75,380.9,383,372.75,6.65M,-0.02
24-01-2025,383.05,386.05,392.25,381.7,5.35M,-0.01
23-01-2025,385.8,377.5,388.2,376.2,5.84M,0.02
22-01-2025,379.2,381.5,383.9,374.65,10.65M,-0.01
21-01-2025,381.55,388,389.65,381,20.85M,-0.01
20-01-2025,387.05,389.6,391,382.65,14.60M,0.00
17-01-2025,387.65,380,389.3,378.55,8.38M,0.02
16-01-2025,378.85,378.45,381.5,374.8,6.92M,0.01
15-01-2025,374.6,371.9,381.45,369.3,11.12M,0.01
14-01-2025,369.25,365,374,363,5.70M,0.02
13-01-2025,362.9,366.1,370.4,361.25,8.66M,-0.02
10-01-2025,368.5,371.4,373.2,364.7,4.89M,-0.01
09-01-2025,372.2,381.55,381.55,370.8,6.25M,-0.02
08-01-2025,380.35,380.05,382.05,376,7.41M,0.00
07-01-2025,379.8,380.55,384.25,376.5,6.54M,0.00
06-01-2025,378.75,394.05,394.05,377.15,8.77M,-0.04
03-01-2025,393.65,393,399.3,389.5,7.12M,0.00
02-01-2025,392.95,388.4,393.95,384.05,7.54M,0.02
01-01-2025,386.4,383.55,388.15,382.5,3.58M,0.01
31-12-2024,384.15,377.9,384.7,376.1,7.69M,0.02
30-12-2024,377.9,380.5,382.3,375.7,22.33M,-0.01
27-12-2024,380.5,387.5,388.45,379.55,5.91M,-0.02
26-12-2024,386.6,386.4,390.3,385.05,4.19M,0.01
24-12-2024,384.5,384.85,386.75,381.4,4.24M,0.00
23-12-2024,382.95,386,388.6,382.4,5.16M,0.00
20-12-2024,382,393,393.7,380.5,7.92M,-0.03
19-12-2024,391.95,390.95,394.5,387,5.75M,-0.01
18-12-2024,395.8,403.5,404.8,394.55,7.18M,-0.02
17-12-2024,402.9,410.45,410.95,402,5.07M,-0.02
16-12-2024,410.45,410.5,412.85,406.5,5.43M,0.00
13-12-2024,410.3,409.1,411.25,402,9.44M,0.00
12-12-2024,409.1,416.5,417.85,407.1,9.41M,-0.02
11-12-2024,416.95,416,419.65,415.55,5.35M,0.01
10-12-2024,414.05,415.5,417.2,411.5,6.04M,0.00
09-12-2024,414,418,420.95,412.5,6.66M,-0.01
06-12-2024,417.15,420,421.5,416.4,4.25M,0.00
05-12-2024,418.4,418.15,421.25,412,9.50M,0.00
04-12-2024,416.65,422.1,425.9,415,6.84M,-0.01
03-12-2024,422.1,425,425.5,419.35,7.93M,0.00
02-12-2024,421.7,418.4,423.4,416.8,6.40M,0.01
29-11-2024,416.4,415.3,418,411,7.06M,0.00
28-11-2024,415.2,420,424.9,413.5,7.79M,0.00
27-11-2024,417.15,420,421,412.7,9.22M,0.01
26-11-2024,411.5,418.45,420,409.7,5.80M,-0.01
25-11-2024,417.45,421,427.45,415.7,10.90M,0.01
22-11-2024,414.05,407.4,415.75,406.4,8.16M,0.02
21-11-2024,406,413.05,413.9,404.15,14.14M,-0.02
19-11-2024,412.25,415.95,422,410.7,6.29M,0.00
18-11-2024,413.35,413.95,418.5,411,7.35M,0.01
14-11-2024,409.75,407.2,413.35,402.6,8.78M,0.01
13-11-2024,406.9,414,415.5,405.7,7.17M,-0.02
12-11-2024,414.05,422.5,424.8,412.8,6.56M,-0.02
11-11-2024,421.55,423,425.75,417.35,7.20M,-0.01
08-11-2024,424.05,435.35,436,421.25,9.93M,-0.03
07-11-2024,435.35,437.8,440.35,434.65,5.86M,0.00
06-11-2024,435.8,437.8,438.9,431.2,9.13M,0.00
