date,price,open,high,low,vol,change
23-01-2025,1665.2,1687,1687,1651.25,17.45M,0.00
22-01-2025,1666.05,1642.4,1671.9,1625.45,15.31M,0.01
21-01-2025,1642.4,1658.25,1661.05,1633.05,15.58M,-0.01
20-01-2025,1651.25,1626,1660.95,1626,8.78M,0.01
17-01-2025,1636.75,1643.5,1650.5,1628.5,11.56M,-0.01
16-01-2025,1652.05,1652.85,1660.55,1642.85,10.61M,0.01
15-01-2025,1643.05,1656.5,1662.7,1636.3,7.01M,0.00
14-01-2025,1646.6,1639.9,1656.2,1637,13.33M,0.01
13-01-2025,1630.85,1640,1646.75,1624.3,10.83M,-0.02
10-01-2025,1656.75,1671,1674.9,1654,8.73M,-0.01
09-01-2025,1667.8,1684.15,1689,1658.1,20.21M,-0.02
08-01-2025,1694.3,1708.25,1711.65,1683.35,9.87M,-0.01
07-01-2025,1713.4,1715,1721,1700,6.76M,0.00
06-01-2025,1710.5,1740.1,1757.2,1705.8,9.41M,-0.02
03-01-2025,1749.2,1791,1795.25,1746.3,12.21M,-0.02
02-01-2025,1793.75,1777.1,1803.45,1773,9.28M,0.01
01-01-2025,1782.75,1773.45,1794,1761.1,3.66M,0.01
31-12-2024,1772.85,1770.3,1781.8,1765.6,7.06M,0.00
30-12-2024,1777.9,1792.2,1815,1771,11.11M,-0.01
27-12-2024,1798.25,1794.8,1805.95,1789.1,3.63M,0.00
26-12-2024,1790.75,1798.55,1812,1780.75,5.24M,0.00
24-12-2024,1798.1,1802.05,1808.7,1789.55,7.24M,0.00
23-12-2024,1801,1782,1806,1781.3,5.52M,0.02
20-12-2024,1771.5,1782.2,1797.55,1767.05,12.85M,-0.01
19-12-2024,1793.5,1799.6,1801.1,1779,12.69M,-0.01
18-12-2024,1810.7,1829.85,1836,1807.15,11.71M,-0.01
17-12-2024,1833.25,1856.35,1862.35,1826.5,10.54M,-0.02
16-12-2024,1865.2,1865.1,1869.95,1855.25,6.55M,0.00
13-12-2024,1871.75,1862.5,1875,1829.25,9.50M,0.01
12-12-2024,1859.25,1851,1868.65,1848.7,8.65M,0.00
11-12-2024,1863.1,1861.7,1871.9,1856.75,7.02M,0.00
10-12-2024,1868.1,1877.7,1877.7,1858.55,6.66M,0.00
09-12-2024,1870,1853.65,1880,1849,13.47M,0.01
06-12-2024,1855.85,1857,1864.2,1844,8.89M,-0.01
05-12-2024,1865.75,1860,1879.95,1835.2,19.84M,0.00
04-12-2024,1860.1,1838,1865,1831.15,22.33M,0.02
03-12-2024,1826.3,1822.7,1837.4,1816.1,21.71M,0.01
02-12-2024,1804.7,1803.5,1808.15,1775,7.56M,0.00
29-11-2024,1796.05,1801.3,1804.6,1782.9,13.83M,0.00
28-11-2024,1793.15,1819,1836.1,1788,17.86M,-0.01
27-11-2024,1812.3,1789.9,1817.35,1785.15,16.36M,0.02
26-11-2024,1785.55,1810,1810,1769.8,15.47M,0.00
25-11-2024,1785.6,1785.05,1803.55,1764.9,213.87M,0.02
22-11-2024,1745.6,1743.55,1754.3,1729.55,12.39M,0.00
21-11-2024,1741.2,1749.4,1759,1734.2,17.86M,0.00
19-11-2024,1742.25,1714,1753.75,1702.7,25.49M,0.02
18-11-2024,1705.1,1700,1718.9,1695,13.54M,0.01
14-11-2024,1692.75,1673.1,1704.85,1672.1,13.57M,0.01
13-11-2024,1681.35,1716.75,1729.4,1673,17.86M,-0.02
12-11-2024,1718.2,1772,1775,1708.65,15.70M,-0.03
11-11-2024,1766.3,1754.55,1782.8,1751.2,12.28M,0.01
08-11-2024,1754.45,1752,1761.8,1745.85,9.95M,0.00
07-11-2024,1746.55,1744.3,1760.95,1738,9.45M,-0.01
06-11-2024,1755.25,1771.5,1771.5,1745.35,13.89M,0.00
05-11-2024,1757.85,1703,1762.7,1697.9,22.12M,0.03
04-11-2024,1714.1,1745,1745,1710.9,14.04M,-0.01
01-11-2024,1737.3,1733,1744.1,1726.1,879.85K,0.00
31-10-2024,1735.7,1728,1738.9,1719.4,11.45M,0.00
30-10-2024,1734.6,1742,1754.75,1724.2,16.36M,-0.01
29-10-2024,1751.85,1726.15,1764,1725.1,17.90M,0.01
28-10-2024,1734.2,1742,1751,1728.9,11.01M,-0.01
25-10-2024,1743.4,1755,1757.85,1728.7,13.07M,0.00
24-10-2024,1749.65,1738.1,1768.65,1738.1,15.42M,0.01
23-10-2024,1735.8,1705.05,1746.5,1705.05,19.02M,0.01
22-10-2024,1714.55,1730.05,1740,1710.7,19.44M,-0.01
21-10-2024,1728.7,1715,1748.15,1711.05,23.27M,0.03
18-10-2024,1681.85,1663.1,1691,1654.1,12.40M,0.01
17-10-2024,1673.15,1694.95,1697.65,1665.2,7.35M,-0.02
16-10-2024,1699.8,1680.1,1707.95,1680.1,10.24M,0.01
15-10-2024,1684.1,1694,1698,1675.5,9.83M,0.00
14-10-2024,1688.1,1656.05,1692.05,1654,9.26M,0.02
11-10-2024,1651,1664.45,1664.45,1643.25,11.84M,-0.01
10-10-2024,1662.4,1639,1665.45,1632.5,10.88M,0.02
09-10-2024,1633.15,1649.5,1656.75,1628.7,20.56M,-0.01
08-10-2024,1651.05,1630,1656.8,1622,14.87M,0.02
07-10-2024,1617.8,1652.2,1659,1613,47.23M,-0.02
04-10-2024,1657.65,1674.5,1690.65,1653,24.34M,-0.01
03-10-2024,1682,1715.65,1726.15,1673.35,24.24M,-0.03
01-10-2024,1726.2,1724,1742,1720.1,12.29M,0.00
30-09-2024,1732.05,1748.8,1751.45,1724.4,13.19M,-0.01
27-09-2024,1752.65,1777,1778.2,1750,17.81M,-0.02
26-09-2024,1783.45,1773.05,1788,1768.05,15.95M,0.00
25-09-2024,1779.1,1760.15,1788,1760.15,15.98M,0.01
24-09-2024,1768.05,1765,1781.65,1754.25,16.52M,0.00
23-09-2024,1759.8,1749,1766.35,1740.25,13.48M,0.01
20-09-2024,1741.2,1716.5,1744.95,1707.55,30.31M,0.02
