date,price,open,high,low,change
"Jan 21, 2025",3173.34,3173.34,3173.34,3173.34,0.0008
"Jan 20, 2025",3170.87,3170.87,3170.87,3170.87,0.0004
"Jan 17, 2025",3169.55,3169.55,3169.55,3169.55,0.0004
"Jan 16, 2025",3168.41,3168.41,3168.41,3168.41,0.0012
"Jan 15, 2025",3164.64,3164.64,3164.64,3164.64,0.0004
"Jan 14, 2025",3163.25,3163.25,3163.25,3163.25,0.0002
"Jan 13, 2025",3162.67,3162.67,3162.67,3162.67,-0.0012
"Jan 10, 2025",3166.37,3166.37,3166.37,3166.37,0.0001
"Jan 09, 2025",3166.09,3166.09,3166.09,3166.09,0.0001
"Jan 08, 2025",3165.79,3165.79,3165.79,3165.79,-0.0001
"Jan 07, 2025",3166.15,3166.15,3166.15,3166.15,0.0006
"Jan 06, 2025",3164.33,3164.33,3164.33,3164.33,0.0007
"Jan 03, 2025",3162.17,3162.17,3162.17,3162.17,0.0004
"Jan 02, 2025",3160.87,3160.87,3160.87,3160.87,0.0001
"Jan 01, 2025",3160.62,3160.62,3160.62,3160.62,-0.0001
"Dec 31, 2024",3160.98,3160.98,3160.98,3160.98,0.0007
"Dec 30, 2024",3158.72,3158.72,3158.72,3158.72,0.0005
"Dec 27, 2024",3157.26,3157.26,3157.26,3157.26,0.0006
"Dec 26, 2024",3155.5,3155.5,3155.5,3155.5,0.0002
"Dec 24, 2024",3154.95,3154.95,3154.95,3154.95,-0.0002
"Dec 23, 2024",3155.51,3155.51,3155.51,3155.51,0.001
"Dec 20, 2024",3152.45,3152.45,3152.45,3152.45,-0.0003
"Dec 19, 2024",3153.24,3153.24,3153.24,3153.24,-0.0013
"Dec 18, 2024",3157.23,3157.23,3157.23,3157.23,0.0004
"Dec 17, 2024",3155.88,3155.88,3155.88,3155.88,-0.0003
"Dec 16, 2024",3156.93,3156.93,3156.93,3156.93,0.0003
"Dec 13, 2024",3156.02,3156.02,3156.02,3156.02,0.0005
"Dec 12, 2024",3154.54,3154.54,3154.54,3154.54,-0.0001
"Dec 11, 2024",3154.76,3154.76,3154.76,3154.76,-0.0003
"Dec 10, 2024",3155.63,3155.63,3155.63,3155.63,0.0006
"Dec 09, 2024",3153.64,3153.64,3153.64,3153.64,0.0008
"Dec 06, 2024",3151.25,3151.25,3151.25,3151.25,-0.0011
"Dec 05, 2024",3154.84,3154.84,3154.84,3154.84,0.0005
"Dec 04, 2024",3153.22,3153.22,3153.22,3153.22,0.0013
"Dec 03, 2024",3149.15,3149.15,3149.15,3149.15,0.0002
"Dec 02, 2024",3148.49,3148.49,3148.49,3148.49,0.0016
"Nov 30, 2024",3143.54,3143.54,3143.54,3143.54,0.0002
"Nov 29, 2024",3142.95,3142.95,3142.95,3142.95,0.0014
"Nov 28, 2024",3138.54,3138.54,3138.54,3138.54,0.0002
"Nov 27, 2024",3137.77,3137.77,3137.77,3137.77,0
"Nov 26, 2024",3137.78,3137.78,3137.78,3137.78,0
"Nov 25, 2024",3137.81,3137.81,3137.81,3137.81,0.0008
"Nov 22, 2024",3135.25,3135.25,3135.25,3135.25,-0.0004
"Nov 21, 2024",3136.49,3136.49,3136.49,3136.49,0
"Nov 19, 2024",3136.52,3136.52,3136.52,3136.52,0.0004
"Nov 18, 2024",3135.33,3135.33,3135.33,3135.33,0.0008
"Nov 14, 2024",3132.71,3132.71,3132.71,3132.71,-0.0005
"Nov 13, 2024",3134.28,3134.28,3134.28,3134.28,-0.0003
"Nov 12, 2024",3135.15,3135.15,3135.15,3135.15,-0.0002
"Nov 11, 2024",3135.73,3135.73,3135.73,3135.73,0.0007
"Nov 08, 2024",3133.59,3133.59,3133.59,3133.59,0.0007
"Nov 07, 2024",3131.51,3131.51,3131.51,3131.51,0.0003
"Nov 06, 2024",3130.42,3130.42,3130.42,3130.42,0.0002
"Nov 05, 2024",3129.65,3129.65,3129.65,3129.65,0
"Nov 04, 2024",3129.52,3129.52,3129.52,3129.52,0.0007
"Oct 31, 2024",3127.32,3127.32,3127.32,3127.32,-0.0001
"Oct 30, 2024",3127.55,3127.55,3127.55,3127.55,0.0004
"Oct 29, 2024",3126.31,3126.31,3126.31,3126.31,0.0006
"Oct 28, 2024",3124.58,3124.58,3124.58,3124.58,0
"Oct 25, 2024",3124.43,3124.43,3124.43,3124.43,0
"Oct 24, 2024",3124.31,3124.31,3124.31,3124.31,0.0004
"Oct 23, 2024",3123.17,3123.17,3123.17,3123.17,0.0008
